unicef_region,year,vaccine,vaccine_code,vaccine_name,vaccine_description,coverage
WCAR,2019,HPV,15HPVC_M,"HPVc Males, by age 15",Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine (Males),0
WCAR,2020,HPV,15HPVC_M,"HPVc Males, by age 15",Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine (Males),0
WCAR,2021,HPV,15HPVC_M,"HPVc Males, by age 15",Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine (Males),0
WCAR,2022,HPV,15HPVC_M,"HPVc Males, by age 15",Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine (Males),0
WCAR,2023,HPV,15HPVC_M,"HPVc Males, by age 15",Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine (Males),0
WCAR,2024,HPV,15HPVC_M,"HPVc Males, by age 15",Population turning 15 in the reporting year that received any time between age 9- 14 the full recommended schedule of HPV vaccine (Males),0
WCAR,2010,HPV,PRHPV1_F,HPV1 Females,Target population who received the first dose of HPV vaccine in the reporting year (Females),0
WCAR,2011,HPV,PRHPV1_F,HPV1 Females,Target population who received the first dose of HPV vaccine in the reporting year (Females),0
WCAR,2012,HPV,PRHPV1_F,HPV1 Females,Target population who received the first dose of HPV vaccine in the reporting year (Females),0
WCAR,2013,HPV,PRHPV1_F,HPV1 Females,Target population who received the first dose of HPV vaccine in the reporting year (Females),0
WCAR,2014,HPV,PRHPV1_F,HPV1 Females,Target population who received the first dose of HPV vaccine in the reporting year (Females),0
WCAR,2015,HPV,PRHPV1_F,HPV1 Females,Target population who received the first dose of HPV vaccine in the reporting year (Females),0
WCAR,2016,HPV,PRHPV1_F,HPV1 Females,Target population who received the first dose of HPV vaccine in the reporting year (Females),0
WCAR,2017,HPV,PRHPV1_F,HPV1 Females,Target population who received the first dose of HPV vaccine in the reporting year (Females),0
WCAR,2018,HPV,PRHPV1_F,HPV1 Females,Target population who received the first dose of HPV vaccine in the reporting year (Females),0
WCAR,2019,HPV,PRHPV1_F,HPV1 Females,Target population who received the first dose of HPV vaccine in the reporting year (Females),3
WCAR,2020,HPV,PRHPV1_F,HPV1 Females,Target population who received the first dose of HPV vaccine in the reporting year (Females),5
WCAR,2021,HPV,PRHPV1_F,HPV1 Females,Target population who received the first dose of HPV vaccine in the reporting year (Females),5
WCAR,2022,HPV,PRHPV1_F,HPV1 Females,Target population who received the first dose of HPV vaccine in the reporting year (Females),9
WCAR,2023,HPV,PRHPV1_F,HPV1 Females,Target population who received the first dose of HPV vaccine in the reporting year (Females),24
WCAR,2024,HPV,PRHPV1_F,HPV1 Females,Target population who received the first dose of HPV vaccine in the reporting year (Females),36
WCAR,2010,HPV,PRHPV1_M,HPV1 Males,Target population who received the first dose of HPV vaccine in the reporting year (Males),0
WCAR,2011,HPV,PRHPV1_M,HPV1 Males,Target population who received the first dose of HPV vaccine in the reporting year (Males),0
WCAR,2012,HPV,PRHPV1_M,HPV1 Males,Target population who received the first dose of HPV vaccine in the reporting year (Males),0
