Data used for the WHO UNICEF coverage estimates 2024 revision (completed July 2025),,,,,,,,,,,,,
ISO3,surveyNameEnglish,surveyNameProduction,collectBegin,collectEnd,cohortYear,vaccine,evidence,cardsSeen,validity,ageVaccination,ageInterview,coverage,denominator
NGA,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,2023-12,2024-04,2022,HIB2,Record or Recall,50,CRUDE,0-23 m,12-23 m,59.8,5121
NGA,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,2023-12,2024-04,2022,HIB3,Record or Recall,50,CRUDE,0-23 m,12-23 m,53.4,5121
NGA,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,2023-12,2024-04,2022,HEPB1,Record or Recall,50,CRUDE,0-23 m,12-23 m,62.9,5121
NGA,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,2023-12,2024-04,2022,HEPB2,Record or Recall,50,CRUDE,0-23 m,12-23 m,59.8,5121
NGA,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,2023-12,2024-04,2022,HEPB3,Record or Recall,50,CRUDE,0-23 m,12-23 m,53.4,5121
NGA,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,2023-12,2024-04,2022,PAB,Record or Recall,,CRUDE,,CBAW,58.3,10948
NGA,"Nigeria Demographic and Health Survey  1999, 2000","Nigeria Demographic and Health Survey  1999, 2000",1999-03,1999-05,1998,BCG,Record or Recall<12m,,CRUDE,0-12 m,12-23 m,52,1161
NGA,"Nigeria Demographic and Health Survey  1999, 2000","Nigeria Demographic and Health Survey  1999, 2000",1999-03,1999-05,1998,BCG,Record,,CRUDE,0-23 m,12-23 m,18.7,1161
NGA,"Nigeria Demographic and Health Survey  1999, 2000","Nigeria Demographic and Health Survey  1999, 2000",1999-03,1999-05,1998,BCG,Record or Recall,,CRUDE,0-23 m,12-23 m,53.8,1161
NGA,"Nigeria Demographic and Health Survey  1999, 2000","Nigeria Demographic and Health Survey  1999, 2000",1999-03,1999-05,1998,BCG,Recall,,CRUDE,0-23 m,12-23 m,35.1,1161
